,did,lat_dest,long_dest,flow,hour
0,76,24.565,46.65,1,6:00
1,141,24.578,46.649,1,6:00
2,225,24.593,46.703,1,6:00
3,883,24.701,46.743,1,6:00
4,1082,24.728,46.758,1,6:00
5,1116,24.732,46.639,1,6:00
6,1323,24.758,46.618,1,6:00
7,1509,24.794,46.734,1,6:00
8,1521,24.798,46.868,1,6:00
9,1530,24.799,46.759,1,6:00
10,1554,24.805,46.731,1,6:00
11,1606,24.82,46.751,1,6:00
12,1623,24.829,46.723,2,6:00
13,1633,24.836,46.683,2,6:00
14,1665,24.856,46.697,1,6:00
15,1689,24.901,46.804,1,6:00
16,1693,24.923,46.713,1,6:00
17,1699,24.955,46.702,1,6:00
