,oid,lat_origin,long_origin,flow,hour
0,111,24.573,46.615,1,6:00
1,132,24.577,46.678,1,6:00
2,167,24.583,46.836,1,6:00
3,219,24.592,46.555,1,6:00
4,227,24.593,46.621,1,6:00
5,235,24.594,46.594,1,6:00
6,322,24.614,46.604,1,6:00
7,425,24.636,46.737,1,6:00
8,510,24.65,46.766,1,6:00
9,669,24.677,46.704,1,6:00
10,834,24.695,46.763,1,6:00
11,835,24.695,46.734,1,6:00
12,839,24.696,46.769,1,6:00
13,880,24.701,46.754,1,6:00
14,894,24.704,46.805,1,6:00
15,988,24.716,46.801,1,6:00
16,1070,24.727,46.577,1,6:00
17,1081,24.728,46.758,3,6:00
18,1101,24.73,46.836,1,6:00
19,1140,24.735,46.757,1,6:00
20,1163,24.738,46.796,1,6:00
21,1179,24.739,46.713,1,6:00
22,1194,24.741,46.657,1,6:00
23,1228,24.745,46.785,1,6:00
24,1233,24.746,46.747,1,6:00
25,1249,24.749,46.763,1,6:00
26,1301,24.754,46.769,1,6:00
27,1318,24.756,46.775,1,6:00
28,1322,24.758,46.783,1,6:00
29,1359,24.764,46.763,1,6:00
30,1382,24.769,46.83,2,6:00
31,1398,24.771,46.767,1,6:00
32,1404,24.772,46.734,3,6:00
33,1409,24.773,46.742,1,6:00
34,1449,24.782,46.685,1,6:00
35,1475,24.787,46.817,1,6:00
36,1506,24.794,46.699,1,6:00
37,1513,24.796,46.646,1,6:00
38,1515,24.797,46.567,1,6:00
39,1516,24.797,46.773,1,6:00
40,1527,24.799,46.741,1,6:00
41,1560,24.806,46.712,1,6:00
42,1565,24.807,46.809,1,6:00
43,1568,24.808,46.792,2,6:00
44,1572,24.81,46.8,1,6:00
45,1591,24.815,46.745,1,6:00
46,1596,24.817,46.801,1,6:00
47,1606,24.82,46.751,1,6:00
48,1621,24.828,46.796,1,6:00
49,1627,24.831,46.692,1,6:00
50,1628,24.833,46.811,1,6:00
51,1643,24.843,46.774,1,6:00
52,1661,24.852,46.776,1,6:00
53,1699,24.955,46.702,1,6:00
