,did,lat_dest,long_dest,flow,hour
0,25,24.543,46.727,1,14:00
1,31,24.545,46.654,1,14:00
2,51,24.555,46.694,1,14:00
3,67,24.56,46.693,1,14:00
4,76,24.565,46.65,2,14:00
5,78,24.565,46.633,1,14:00
6,108,24.572,46.644,1,14:00
7,132,24.577,46.678,1,14:00
8,135,24.577,46.656,1,14:00
9,139,24.578,46.618,1,14:00
10,156,24.581,46.686,1,14:00
11,170,24.584,46.614,1,14:00
12,187,24.586,46.696,1,14:00
13,192,24.587,46.539,1,14:00
14,221,24.592,46.627,1,14:00
15,235,24.594,46.594,2,14:00
16,239,24.596,46.584,1,14:00
17,258,24.599,46.652,1,14:00
18,262,24.6,46.694,1,14:00
19,315,24.611,46.749,1,14:00
20,351,24.62,46.573,3,14:00
21,356,24.621,46.735,1,14:00
22,381,24.627,46.659,1,14:00
23,389,24.629,46.726,1,14:00
24,522,24.653,46.571,2,14:00
25,666,24.677,46.692,1,14:00
26,673,24.677,46.777,1,14:00
27,676,24.678,46.816,1,14:00
28,687,24.68,46.661,1,14:00
29,697,24.681,46.764,1,14:00
30,734,24.685,46.777,1,14:00
31,744,24.687,46.686,1,14:00
32,789,24.691,46.791,1,14:00
33,797,24.691,46.673,1,14:00
34,833,24.695,46.813,1,14:00
35,880,24.701,46.754,2,14:00
36,881,24.701,46.682,1,14:00
37,897,24.704,46.805,1,14:00
38,900,24.704,46.624,1,14:00
39,913,24.705,46.679,1,14:00
40,921,24.706,46.775,1,14:00
41,965,24.712,46.778,1,14:00
42,970,24.712,46.759,1,14:00
43,995,24.716,46.792,2,14:00
44,996,24.717,46.592,1,14:00
45,1007,24.718,46.768,1,14:00
46,1008,24.718,46.747,1,14:00
47,1011,24.718,46.83,1,14:00
48,1062,24.726,46.846,1,14:00
49,1072,24.727,46.769,1,14:00
50,1077,24.727,46.681,1,14:00
51,1086,24.728,46.852,1,14:00
52,1098,24.73,46.658,1,14:00
53,1120,24.732,46.674,1,14:00
54,1125,24.733,46.663,1,14:00
55,1156,24.737,46.591,2,14:00
56,1163,24.738,46.796,1,14:00
57,1175,24.739,46.656,1,14:00
58,1177,24.739,46.764,1,14:00
59,1180,24.739,46.806,1,14:00
60,1186,24.74,46.749,1,14:00
61,1188,24.74,46.819,1,14:00
62,1205,24.743,46.778,1,14:00
63,1223,24.744,46.813,1,14:00
64,1233,24.746,46.747,2,14:00
65,1240,24.747,46.837,1,14:00
66,1242,24.747,46.668,1,14:00
67,1251,24.749,46.678,1,14:00
68,1270,24.751,46.776,1,14:00
69,1277,24.752,46.744,1,14:00
70,1284,24.753,46.699,1,14:00
71,1289,24.753,46.578,1,14:00
72,1294,24.753,46.84,1,14:00
73,1297,24.754,46.792,2,14:00
74,1306,24.755,46.803,2,14:00
75,1310,24.755,46.739,1,14:00
76,1314,24.756,46.885,1,14:00
77,1316,24.756,46.681,1,14:00
78,1317,24.756,46.711,1,14:00
79,1321,24.758,46.648,1,14:00
80,1333,24.759,46.799,1,14:00
81,1337,24.76,46.686,1,14:00
82,1343,24.76,46.727,1,14:00
83,1346,24.762,46.736,6,14:00
84,1347,24.762,46.773,1,14:00
85,1348,24.762,46.655,1,14:00
86,1350,24.763,46.747,3,14:00
87,1351,24.763,46.667,1,14:00
88,1356,24.764,46.681,1,14:00
89,1360,24.764,46.785,1,14:00
90,1365,24.765,46.725,3,14:00
91,1373,24.767,46.703,1,14:00
92,1375,24.768,46.712,1,14:00
93,1378,24.768,46.807,1,14:00
94,1381,24.769,46.667,1,14:00
95,1384,24.769,46.668,2,14:00
96,1385,24.769,46.581,1,14:00
97,1387,24.77,46.758,2,14:00
98,1388,24.77,46.759,1,14:00
99,1396,24.771,46.726,1,14:00
100,1397,24.771,46.66,2,14:00
101,1398,24.771,46.767,1,14:00
102,1404,24.772,46.734,4,14:00
103,1406,24.772,46.72,1,14:00
104,1410,24.774,46.683,2,14:00
105,1415,24.775,46.791,1,14:00
106,1416,24.775,46.728,2,14:00
107,1421,24.776,46.71,1,14:00
108,1426,24.777,46.636,1,14:00
109,1429,24.777,46.675,1,14:00
110,1440,24.779,46.799,1,14:00
111,1441,24.78,46.664,1,14:00
112,1442,24.78,46.738,1,14:00
113,1444,24.781,46.652,1,14:00
114,1447,24.781,46.708,1,14:00
115,1459,24.784,46.586,1,14:00
116,1463,24.785,46.668,1,14:00
117,1464,24.785,46.725,6,14:00
118,1467,24.785,46.731,2,14:00
119,1474,24.786,46.703,3,14:00
120,1478,24.787,46.719,3,14:00
121,1480,24.788,46.681,1,14:00
122,1481,24.788,46.641,1,14:00
123,1483,24.788,46.789,1,14:00
124,1489,24.789,46.671,1,14:00
125,1492,24.79,46.711,2,14:00
126,1494,24.79,46.767,1,14:00
127,1498,24.792,46.761,1,14:00
128,1502,24.794,46.688,1,14:00
