,oid,lat_origin,long_origin,flow,hour
0,124,24.576,46.588,3,21:00
1,373,24.625,46.807,2,21:00
2,637,24.673,46.722,1,21:00
3,800,24.691,46.683,1,21:00
4,890,24.702,46.679,1,21:00
5,972,24.713,46.671,1,21:00
6,1037,24.723,46.758,1,21:00
7,1133,24.733,46.791,1,21:00
8,1177,24.739,46.764,1,21:00
9,1186,24.74,46.749,1,21:00
10,1309,24.755,46.728,1,21:00
11,1321,24.758,46.648,1,21:00
12,1345,24.762,46.699,1,21:00
13,1353,24.763,46.618,1,21:00
14,1384,24.769,46.668,1,21:00
15,1402,24.771,46.69,1,21:00
16,1404,24.772,46.734,1,21:00
17,1439,24.779,46.693,1,21:00
18,1500,24.793,46.747,1,21:00
19,1532,24.8,46.811,1,21:00
20,1535,24.801,46.656,1,21:00
21,1556,24.805,46.683,1,21:00
22,1607,24.82,46.622,1,21:00
23,1611,24.822,46.76,1,21:00
24,1619,24.826,46.739,5,21:00
25,1655,24.85,46.762,5,21:00
26,1661,24.852,46.776,1,21:00
27,1692,24.916,46.809,1,21:00
28,1693,24.923,46.713,1,21:00
29,1699,24.955,46.702,2,21:00
30,1705,24.96,46.702,1,21:00
31,1709,24.965,46.8,1,21:00
