,oid,lat_origin,long_origin,flow,hour
0,76,24.565,46.65,1,11:00
1,168,24.583,46.602,1,11:00
2,170,24.584,46.614,1,11:00
3,268,24.601,46.615,1,11:00
4,329,24.614,46.739,1,11:00
5,462,24.642,46.697,1,11:00
6,505,24.649,46.554,1,11:00
7,522,24.653,46.571,1,11:00
8,567,24.662,46.716,1,11:00
9,575,24.663,46.614,1,11:00
10,587,24.665,46.733,1,11:00
11,607,24.668,46.871,1,11:00
12,625,24.671,46.703,1,11:00
13,641,24.673,46.804,1,11:00
14,650,24.674,46.669,1,11:00
15,698,24.681,46.69,1,11:00
16,730,24.685,46.685,1,11:00
17,740,24.686,46.679,1,11:00
18,828,24.695,46.797,1,11:00
19,839,24.696,46.769,2,11:00
20,863,24.699,46.777,1,11:00
21,882,24.701,46.77,2,11:00
22,970,24.712,46.759,2,11:00
23,1014,24.719,46.687,1,11:00
24,1027,24.72,46.763,1,11:00
25,1042,24.723,46.671,2,11:00
26,1069,24.727,46.577,1,11:00
27,1072,24.727,46.769,1,11:00
28,1091,24.729,46.821,1,11:00
29,1115,24.732,46.621,1,11:00
30,1121,24.732,46.679,1,11:00
31,1149,24.736,46.669,1,11:00
32,1177,24.739,46.764,1,11:00
33,1179,24.739,46.713,1,11:00
34,1186,24.74,46.749,3,11:00
35,1197,24.742,46.571,1,11:00
36,1202,24.743,46.714,1,11:00
37,1204,24.743,46.658,1,11:00
38,1223,24.744,46.813,1,11:00
39,1225,24.745,46.786,1,11:00
40,1233,24.746,46.747,2,11:00
41,1240,24.747,46.837,1,11:00
42,1244,24.748,46.689,1,11:00
43,1256,24.75,46.787,1,11:00
44,1258,24.75,46.818,1,11:00
45,1266,24.751,46.645,1,11:00
46,1277,24.752,46.744,1,11:00
47,1284,24.753,46.699,1,11:00
48,1297,24.754,46.792,1,11:00
49,1299,24.754,46.637,1,11:00
50,1301,24.754,46.769,1,11:00
51,1304,24.754,46.815,1,11:00
52,1310,24.755,46.739,1,11:00
53,1312,24.756,46.676,1,11:00
54,1320,24.756,46.75,1,11:00
55,1321,24.758,46.648,1,11:00
56,1322,24.758,46.783,1,11:00
57,1335,24.759,46.653,1,11:00
58,1336,24.76,46.626,1,11:00
59,1339,24.76,46.707,1,11:00
60,1344,24.762,46.674,1,11:00
61,1346,24.762,46.736,2,11:00
62,1350,24.763,46.747,1,11:00
63,1352,24.763,46.662,1,11:00
64,1367,24.765,46.778,1,11:00
65,1373,24.767,46.703,1,11:00
66,1390,24.77,46.794,1,11:00
67,1391,24.77,46.679,1,11:00
68,1399,24.771,46.741,1,11:00
69,1400,24.771,46.62,1,11:00
70,1402,24.771,46.69,1,11:00
71,1407,24.773,46.646,1,11:00
72,1410,24.774,46.683,4,11:00
73,1416,24.775,46.728,5,11:00
74,1429,24.777,46.675,1,11:00
75,1442,24.78,46.738,1,11:00
76,1449,24.782,46.685,1,11:00
77,1451,24.782,46.75,1,11:00
78,1454,24.782,46.793,1,11:00
79,1457,24.783,46.774,1,11:00
80,1464,24.785,46.725,1,11:00
81,1467,24.785,46.731,1,11:00
82,1474,24.786,46.703,1,11:00
83,1481,24.788,46.641,1,11:00
84,1484,24.789,46.74,1,11:00
85,1491,24.79,46.794,1,11:00
86,1492,24.79,46.711,7,11:00
87,1499,24.792,46.641,1,11:00
88,1500,24.793,46.747,1,11:00
89,1506,24.794,46.699,1,11:00
90,1509,24.794,46.734,1,11:00
91,1516,24.797,46.773,1,11:00
92,1522,24.799,46.75,1,11:00
93,1523,24.799,46.666,1,11:00
94,1527,24.799,46.741,1,11:00
95,1531,24.799,46.785,1,11:00
96,1533,24.8,46.717,2,11:00
97,1537,24.801,46.699,1,11:00
98,1538,24.801,46.77,1,11:00
99,1539,24.802,46.648,1,11:00
100,1540,24.802,46.86,1,11:00
101,1551,24.804,46.798,1,11:00
102,1555,24.805,46.626,2,11:00
103,1560,24.806,46.712,1,11:00
104,1564,24.807,46.746,1,11:00
105,1568,24.808,46.792,2,11:00
106,1574,24.81,46.704,1,11:00
107,1575,24.81,46.694,1,11:00
108,1578,24.812,46.751,1,11:00
109,1579,24.813,46.712,9,11:00
110,1584,24.814,46.656,1,11:00
111,1594,24.816,46.739,1,11:00
112,1597,24.817,46.71,4,11:00
113,1603,24.82,46.676,3,11:00
114,1604,24.82,46.595,2,11:00
115,1605,24.82,46.686,1,11:00
116,1609,24.82,46.827,1,11:00
117,1619,24.826,46.739,3,11:00
118,1623,24.829,46.723,4,11:00
119,1624,24.829,46.827,1,11:00
120,1627,24.831,46.692,1,11:00
121,1633,24.836,46.683,1,11:00
122,1635,24.837,46.773,1,11:00
123,1640,24.84,46.671,2,11:00
124,1643,24.843,46.774,1,11:00
125,1655,24.85,46.762,3,11:00
126,1658,24.851,46.696,1,11:00
127,1665,24.856,46.697,3,11:00
128,1689,24.901,46.804,1,11:00
129,1693,24.923,46.713,1,11:00
130,1699,24.955,46.702,4,11:00
131,1701,24.956,46.703,1,11:00
