,did,lat_dest,long_dest,flow,hour
0,539,24.657,46.789,1,18:00
1,826,24.694,46.701,1,18:00
2,955,24.711,46.764,1,18:00
3,972,24.713,46.671,1,18:00
4,1148,24.736,46.664,1,18:00
5,1186,24.74,46.749,1,18:00
6,1190,24.741,46.673,2,18:00
7,1351,24.763,46.667,1,18:00
8,1353,24.763,46.618,1,18:00
9,1398,24.771,46.767,1,18:00
10,1404,24.772,46.734,1,18:00
11,1416,24.775,46.728,1,18:00
12,1437,24.779,46.713,1,18:00
13,1442,24.78,46.738,1,18:00
14,1464,24.785,46.725,2,18:00
15,1478,24.787,46.719,1,18:00
16,1527,24.799,46.741,3,18:00
17,1579,24.813,46.712,2,18:00
18,1619,24.826,46.739,3,18:00
19,1626,24.83,46.648,1,18:00
20,1655,24.85,46.762,4,18:00
21,1665,24.856,46.697,1,18:00
22,1674,24.864,46.797,1,18:00
23,1688,24.886,46.804,1,18:00
24,1692,24.916,46.809,1,18:00
25,1693,24.923,46.713,1,18:00
26,1694,24.933,46.838,2,18:00
27,1697,24.948,46.705,1,18:00
28,1698,24.951,46.794,1,18:00
29,1699,24.955,46.702,3,18:00
30,1706,24.962,46.801,1,18:00
