,oid,lat_origin,long_origin,flow,hour
0,110,24.573,46.584,1,8:00
1,133,24.577,46.58,1,8:00
2,141,24.578,46.649,1,8:00
3,227,24.593,46.621,1,8:00
4,236,24.595,46.681,1,8:00
5,285,24.604,46.833,2,8:00
6,322,24.614,46.604,1,8:00
7,381,24.627,46.659,1,8:00
8,441,24.638,46.588,1,8:00
9,522,24.653,46.571,1,8:00
10,566,24.662,46.665,1,8:00
11,598,24.667,46.755,1,8:00
12,690,24.68,46.72,1,8:00
13,789,24.691,46.791,1,8:00
14,838,24.696,46.844,1,8:00
15,855,24.698,46.669,2,8:00
16,897,24.704,46.805,1,8:00
17,925,24.706,46.799,1,8:00
18,965,24.712,46.778,1,8:00
19,970,24.712,46.759,1,8:00
20,996,24.717,46.592,1,8:00
21,997,24.717,46.786,1,8:00
22,1020,24.72,46.608,1,8:00
23,1037,24.723,46.758,1,8:00
24,1050,24.724,46.816,1,8:00
25,1102,24.73,46.736,1,8:00
26,1103,24.73,46.805,1,8:00
27,1134,24.734,46.688,1,8:00
28,1152,24.737,46.676,1,8:00
29,1179,24.739,46.713,1,8:00
30,1193,24.741,46.758,1,8:00
31,1225,24.745,46.786,1,8:00
32,1232,24.746,46.759,1,8:00
33,1251,24.749,46.678,1,8:00
34,1277,24.752,46.744,1,8:00
35,1282,24.752,46.749,1,8:00
36,1321,24.758,46.648,1,8:00
37,1334,24.759,46.8,1,8:00
38,1337,24.76,46.686,1,8:00
39,1345,24.762,46.699,1,8:00
40,1350,24.763,46.747,2,8:00
41,1351,24.763,46.667,2,8:00
42,1359,24.764,46.763,1,8:00
43,1360,24.764,46.785,2,8:00
44,1363,24.765,46.752,2,8:00
45,1377,24.768,46.772,1,8:00
46,1381,24.769,46.667,1,8:00
47,1384,24.769,46.668,1,8:00
48,1385,24.769,46.581,1,8:00
49,1397,24.771,46.66,1,8:00
50,1402,24.771,46.69,1,8:00
51,1403,24.771,46.8,1,8:00
52,1416,24.775,46.728,1,8:00
53,1419,24.776,46.777,1,8:00
54,1434,24.779,46.719,1,8:00
55,1439,24.779,46.693,1,8:00
56,1443,24.78,46.624,1,8:00
57,1451,24.782,46.75,1,8:00
58,1468,24.785,46.661,1,8:00
59,1478,24.787,46.719,2,8:00
60,1480,24.788,46.681,1,8:00
61,1500,24.793,46.747,1,8:00
62,1502,24.794,46.688,1,8:00
63,1509,24.794,46.734,1,8:00
64,1527,24.799,46.741,1,8:00
65,1531,24.799,46.785,1,8:00
66,1533,24.8,46.717,2,8:00
67,1537,24.801,46.699,1,8:00
68,1540,24.802,46.86,1,8:00
69,1541,24.802,46.707,1,8:00
70,1560,24.806,46.712,1,8:00
71,1577,24.812,46.794,1,8:00
72,1578,24.812,46.751,1,8:00
73,1579,24.813,46.712,3,8:00
74,1583,24.814,46.7,1,8:00
75,1598,24.817,46.809,1,8:00
76,1602,24.819,46.787,2,8:00
77,1603,24.82,46.676,1,8:00
78,1606,24.82,46.751,1,8:00
79,1613,24.823,46.63,1,8:00
80,1619,24.826,46.739,1,8:00
81,1626,24.83,46.648,1,8:00
82,1627,24.831,46.692,1,8:00
83,1633,24.836,46.683,1,8:00
84,1636,24.838,46.789,1,8:00
85,1665,24.856,46.697,2,8:00
86,1674,24.864,46.797,1,8:00
87,1684,24.877,46.592,1,8:00
88,1696,24.943,46.652,1,8:00
89,1709,24.965,46.8,1,8:00
