,did,lat_dest,long_dest,flow,hour
0,5,24.525,46.648,1,9:00
1,124,24.576,46.588,1,9:00
2,160,24.582,46.849,1,9:00
3,168,24.583,46.602,1,9:00
4,190,24.586,46.643,1,9:00
5,221,24.592,46.627,1,9:00
6,382,24.627,46.695,1,9:00
7,441,24.638,46.588,1,9:00
8,465,24.642,46.703,1,9:00
9,635,24.673,46.742,1,9:00
10,726,24.684,46.744,1,9:00
11,890,24.702,46.679,1,9:00
12,932,24.708,46.661,1,9:00
13,1010,24.718,46.628,1,9:00
14,1138,24.734,46.76,1,9:00
15,1220,24.744,46.616,1,9:00
16,1249,24.749,46.763,1,9:00
17,1288,24.753,46.695,1,9:00
18,1291,24.753,46.721,1,9:00
19,1303,24.754,46.688,2,9:00
20,1340,24.76,46.807,1,9:00
21,1353,24.763,46.618,1,9:00
22,1406,24.772,46.72,2,9:00
23,1416,24.775,46.728,2,9:00
24,1441,24.78,46.664,1,9:00
25,1449,24.782,46.685,1,9:00
26,1478,24.787,46.719,1,9:00
27,1481,24.788,46.641,1,9:00
28,1484,24.789,46.74,1,9:00
29,1492,24.79,46.711,1,9:00
30,1524,24.799,46.728,1,9:00
31,1534,24.801,46.631,1,9:00
32,1541,24.802,46.707,1,9:00
33,1554,24.805,46.731,1,9:00
34,1560,24.806,46.712,1,9:00
35,1562,24.807,46.721,2,9:00
36,1579,24.813,46.712,3,9:00
37,1601,24.819,46.724,1,9:00
38,1602,24.819,46.787,1,9:00
39,1606,24.82,46.751,1,9:00
40,1607,24.82,46.622,1,9:00
41,1619,24.826,46.739,4,9:00
42,1623,24.829,46.723,3,9:00
43,1624,24.829,46.827,1,9:00
44,1643,24.843,46.774,2,9:00
45,1661,24.852,46.776,2,9:00
46,1665,24.856,46.697,1,9:00
47,1677,24.864,46.633,1,9:00
48,1693,24.923,46.713,1,9:00
49,1697,24.948,46.705,1,9:00
50,1699,24.955,46.702,3,9:00
51,1705,24.96,46.702,1,9:00
52,1711,24.975,46.771,1,9:00
