,oid,lat_origin,long_origin,flow,hour
0,124,24.576,46.588,1,13:00
1,372,24.625,46.776,1,13:00
2,403,24.631,46.712,1,13:00
3,522,24.653,46.571,1,13:00
4,544,24.658,46.739,1,13:00
5,571,24.662,46.625,1,13:00
6,730,24.685,46.685,1,13:00
7,734,24.685,46.777,1,13:00
8,757,24.688,46.693,1,13:00
9,794,24.691,46.718,1,13:00
10,834,24.695,46.763,1,13:00
11,841,24.696,46.779,1,13:00
12,882,24.701,46.77,2,13:00
13,939,24.708,46.677,1,13:00
14,941,24.709,46.675,1,13:00
15,962,24.712,46.615,1,13:00
16,970,24.712,46.759,1,13:00
17,1003,24.718,46.66,1,13:00
18,1042,24.723,46.671,2,13:00
19,1081,24.728,46.758,1,13:00
20,1108,24.731,46.774,1,13:00
21,1122,24.732,46.765,1,13:00
22,1125,24.733,46.663,1,13:00
23,1148,24.736,46.664,3,13:00
24,1199,24.743,46.686,1,13:00
25,1202,24.743,46.714,1,13:00
26,1208,24.743,46.581,1,13:00
27,1210,24.743,46.714,1,13:00
28,1226,24.745,46.858,1,13:00
29,1233,24.746,46.747,3,13:00
30,1289,24.753,46.578,1,13:00
31,1297,24.754,46.792,1,13:00
32,1304,24.754,46.815,2,13:00
33,1310,24.755,46.739,1,13:00
34,1317,24.756,46.711,1,13:00
35,1321,24.758,46.648,1,13:00
36,1338,24.76,46.693,1,13:00
37,1343,24.76,46.727,1,13:00
38,1346,24.762,46.736,1,13:00
39,1350,24.763,46.747,2,13:00
40,1356,24.764,46.681,1,13:00
41,1359,24.764,46.763,1,13:00
42,1372,24.766,46.834,1,13:00
43,1373,24.767,46.703,1,13:00
44,1375,24.768,46.712,2,13:00
45,1379,24.768,46.686,1,13:00
46,1380,24.768,46.747,1,13:00
47,1381,24.769,46.667,1,13:00
48,1385,24.769,46.581,1,13:00
49,1397,24.771,46.66,1,13:00
50,1399,24.771,46.741,1,13:00
51,1401,24.771,46.651,1,13:00
52,1402,24.771,46.69,1,13:00
53,1404,24.772,46.734,7,13:00
54,1406,24.772,46.72,1,13:00
55,1407,24.773,46.646,1,13:00
56,1414,24.775,46.716,1,13:00
57,1416,24.775,46.728,3,13:00
58,1418,24.776,46.694,1,13:00
59,1421,24.776,46.71,1,13:00
60,1429,24.777,46.675,1,13:00
61,1434,24.779,46.719,1,13:00
62,1437,24.779,46.713,1,13:00
63,1440,24.779,46.799,1,13:00
64,1442,24.78,46.738,6,13:00
65,1448,24.781,46.571,1,13:00
66,1451,24.782,46.75,1,13:00
67,1464,24.785,46.725,2,13:00
68,1474,24.786,46.703,1,13:00
69,1478,24.787,46.719,3,13:00
70,1492,24.79,46.711,5,13:00
71,1510,24.794,46.657,1,13:00
72,1512,24.795,46.708,1,13:00
73,1513,24.796,46.646,1,13:00
74,1519,24.797,46.619,1,13:00
75,1520,24.798,46.855,1,13:00
76,1522,24.799,46.75,1,13:00
77,1525,24.799,46.796,1,13:00
78,1527,24.799,46.741,1,13:00
79,1529,24.799,46.689,1,13:00
80,1533,24.8,46.717,2,13:00
81,1536,24.801,46.66,1,13:00
82,1537,24.801,46.699,1,13:00
83,1549,24.804,46.713,2,13:00
84,1554,24.805,46.731,1,13:00
85,1558,24.806,46.695,1,13:00
86,1560,24.806,46.712,1,13:00
87,1562,24.807,46.721,1,13:00
88,1565,24.807,46.809,1,13:00
89,1566,24.808,46.649,1,13:00
90,1568,24.808,46.792,1,13:00
91,1576,24.811,46.692,1,13:00
92,1579,24.813,46.712,6,13:00
93,1583,24.814,46.7,3,13:00
94,1590,24.815,46.632,1,13:00
95,1594,24.816,46.739,1,13:00
96,1596,24.817,46.801,1,13:00
97,1603,24.82,46.676,1,13:00
98,1605,24.82,46.686,5,13:00
99,1606,24.82,46.751,1,13:00
100,1608,24.82,46.778,1,13:00
101,1619,24.826,46.739,4,13:00
102,1620,24.826,46.792,1,13:00
103,1621,24.828,46.796,3,13:00
104,1623,24.829,46.723,4,13:00
105,1627,24.831,46.692,2,13:00
106,1633,24.836,46.683,3,13:00
107,1656,24.851,46.65,1,13:00
108,1658,24.851,46.696,2,13:00
109,1661,24.852,46.776,1,13:00
110,1665,24.856,46.697,3,13:00
111,1693,24.923,46.713,1,13:00
112,1697,24.948,46.705,1,13:00
113,1699,24.955,46.702,3,13:00
114,1703,24.959,46.794,1,13:00
115,1711,24.975,46.771,1,13:00
116,1712,24.978,46.69,1,13:00
