,did,lat_dest,long_dest,flow,hour
0,17,24.537,46.642,1,13:00
1,56,24.556,46.683,1,13:00
2,87,24.567,46.773,1,13:00
3,124,24.576,46.588,1,13:00
4,132,24.577,46.678,1,13:00
5,161,24.582,46.608,1,13:00
6,162,24.582,46.647,1,13:00
7,221,24.592,46.627,1,13:00
8,223,24.593,46.673,1,13:00
9,260,24.6,46.593,1,13:00
10,308,24.61,46.78,1,13:00
11,351,24.62,46.573,2,13:00
12,406,24.632,46.557,1,13:00
13,425,24.636,46.737,1,13:00
14,441,24.638,46.588,1,13:00
15,476,24.644,46.757,1,13:00
16,505,24.649,46.554,1,13:00
17,617,24.67,46.664,1,13:00
18,642,24.673,46.759,1,13:00
19,652,24.675,46.696,1,13:00
20,700,24.682,46.683,1,13:00
21,704,24.682,46.789,1,13:00
22,744,24.687,46.686,1,13:00
23,779,24.69,46.76,1,13:00
24,797,24.691,46.673,1,13:00
25,831,24.695,46.752,1,13:00
26,855,24.698,46.669,2,13:00
27,870,24.7,46.797,1,13:00
28,885,24.701,46.697,1,13:00
29,897,24.704,46.805,1,13:00
30,911,24.705,46.748,1,13:00
31,928,24.707,46.69,1,13:00
32,935,24.708,46.662,1,13:00
33,966,24.712,46.838,1,13:00
34,985,24.716,46.608,1,13:00
35,995,24.716,46.792,1,13:00
36,1000,24.717,46.674,1,13:00
37,1006,24.718,46.768,1,13:00
38,1007,24.718,46.768,1,13:00
39,1037,24.723,46.758,2,13:00
40,1051,24.724,46.654,3,13:00
41,1069,24.727,46.577,1,13:00
42,1088,24.729,46.791,1,13:00
43,1096,24.729,46.605,1,13:00
44,1098,24.73,46.658,1,13:00
45,1105,24.731,46.774,1,13:00
46,1146,24.736,46.821,1,13:00
47,1155,24.737,46.682,1,13:00
48,1156,24.737,46.591,1,13:00
49,1161,24.738,46.844,1,13:00
50,1179,24.739,46.713,1,13:00
51,1186,24.74,46.749,1,13:00
52,1189,24.74,46.721,1,13:00
53,1194,24.741,46.657,2,13:00
54,1203,24.743,46.77,1,13:00
55,1217,24.744,46.677,2,13:00
56,1223,24.744,46.813,1,13:00
57,1226,24.745,46.858,1,13:00
58,1230,24.746,46.596,1,13:00
59,1233,24.746,46.747,2,13:00
60,1237,24.747,46.673,1,13:00
61,1245,24.748,46.698,1,13:00
62,1246,24.748,46.768,1,13:00
63,1260,24.75,46.71,2,13:00
