,oid,lat_origin,long_origin,flow,hour
0,306,24.609,46.772,1,16:00
1,660,24.676,46.669,1,16:00
2,719,24.683,46.701,1,16:00
3,784,24.69,46.765,1,16:00
4,1051,24.724,46.654,1,16:00
5,1082,24.728,46.758,1,16:00
6,1277,24.752,46.744,1,16:00
7,1297,24.754,46.792,1,16:00
8,1299,24.754,46.637,1,16:00
9,1343,24.76,46.727,1,16:00
10,1349,24.762,46.718,1,16:00
11,1350,24.763,46.747,1,16:00
12,1402,24.771,46.69,1,16:00
13,1416,24.775,46.728,2,16:00
14,1492,24.79,46.711,1,16:00
15,1506,24.794,46.699,1,16:00
16,1511,24.795,46.791,1,16:00
17,1527,24.799,46.741,1,16:00
18,1549,24.804,46.713,1,16:00
19,1579,24.813,46.712,3,16:00
20,1619,24.826,46.739,4,16:00
21,1623,24.829,46.723,2,16:00
22,1633,24.836,46.683,1,16:00
23,1655,24.85,46.762,4,16:00
24,1661,24.852,46.776,1,16:00
25,1665,24.856,46.697,1,16:00
26,1694,24.933,46.838,2,16:00
27,1699,24.955,46.702,1,16:00
