,oid,lat_origin,long_origin,flow,hour
0,634,24.672,46.707,1,22:00
1,1198,24.743,46.841,1,22:00
2,1245,24.748,46.698,1,22:00
3,1291,24.753,46.721,1,22:00
4,1347,24.762,46.773,1,22:00
5,1416,24.775,46.728,1,22:00
6,1464,24.785,46.725,1,22:00
7,1474,24.786,46.703,1,22:00
8,1492,24.79,46.711,1,22:00
9,1538,24.801,46.77,1,22:00
10,1541,24.802,46.707,1,22:00
11,1558,24.806,46.695,1,22:00
12,1562,24.807,46.721,1,22:00
13,1579,24.813,46.712,4,22:00
14,1619,24.826,46.739,4,22:00
15,1621,24.828,46.796,1,22:00
16,1623,24.829,46.723,2,22:00
17,1627,24.831,46.692,1,22:00
18,1633,24.836,46.683,1,22:00
19,1636,24.838,46.789,1,22:00
20,1655,24.85,46.762,2,22:00
21,1658,24.851,46.696,1,22:00
22,1674,24.864,46.797,1,22:00
23,1682,24.876,46.822,1,22:00
24,1693,24.923,46.713,2,22:00
25,1705,24.96,46.702,1,22:00
26,1709,24.965,46.8,1,22:00
27,1711,24.975,46.771,1,22:00
