,did,lat_dest,long_dest,flow,hour
0,22,24.541,46.681,2,12:00
1,26,24.543,46.692,1,12:00
2,31,24.545,46.654,1,12:00
3,90,24.569,46.654,1,12:00
4,111,24.573,46.615,1,12:00
5,160,24.582,46.849,1,12:00
6,170,24.584,46.614,1,12:00
7,173,24.584,46.767,1,12:00
8,179,24.585,46.63,1,12:00
9,183,24.586,46.666,1,12:00
10,210,24.59,46.853,1,12:00
11,239,24.596,46.584,1,12:00
12,270,24.601,46.748,1,12:00
13,348,24.62,46.748,1,12:00
14,351,24.62,46.573,1,12:00
15,358,24.622,46.623,1,12:00
16,393,24.63,46.751,1,12:00
17,441,24.638,46.588,1,12:00
18,452,24.639,46.574,3,12:00
19,462,24.642,46.697,1,12:00
20,514,24.652,46.691,1,12:00
21,566,24.662,46.665,1,12:00
22,567,24.662,46.716,1,12:00
23,571,24.662,46.625,1,12:00
24,573,24.663,46.737,1,12:00
25,641,24.673,46.804,1,12:00
26,656,24.676,46.59,1,12:00
27,658,24.676,46.674,1,12:00
28,662,24.676,46.681,1,12:00
29,673,24.677,46.777,1,12:00
30,695,24.681,46.587,1,12:00
31,704,24.682,46.789,1,12:00
32,718,24.683,46.798,1,12:00
33,741,24.686,46.628,1,12:00
34,742,24.686,46.772,1,12:00
35,750,24.687,46.649,1,12:00
36,797,24.691,46.673,1,12:00
37,816,24.693,46.695,1,12:00
38,836,24.695,46.656,1,12:00
39,837,24.695,46.784,1,12:00
40,841,24.696,46.779,1,12:00
41,855,24.698,46.669,1,12:00
42,863,24.699,46.777,1,12:00
43,866,24.7,46.651,1,12:00
44,873,24.7,46.673,1,12:00
45,883,24.701,46.743,1,12:00
46,891,24.703,46.814,1,12:00
47,916,24.706,46.708,1,12:00
48,931,24.708,46.798,1,12:00
49,946,24.709,46.764,2,12:00
50,953,24.71,46.789,1,12:00
51,963,24.712,46.675,1,12:00
52,965,24.712,46.778,1,12:00
53,970,24.712,46.759,1,12:00
54,972,24.713,46.671,1,12:00
55,1006,24.718,46.768,1,12:00
56,1007,24.718,46.768,1,12:00
57,1013,24.719,46.853,1,12:00
58,1035,24.722,46.777,1,12:00
59,1051,24.724,46.654,1,12:00
60,1055,24.725,46.685,1,12:00
61,1062,24.726,46.846,1,12:00
62,1070,24.727,46.577,1,12:00
63,1081,24.728,46.758,1,12:00
64,1086,24.728,46.852,1,12:00
65,1088,24.729,46.791,1,12:00
66,1099,24.73,46.695,1,12:00
67,1100,24.73,46.783,1,12:00
68,1120,24.732,46.674,1,12:00
69,1121,24.732,46.679,1,12:00
70,1129,24.733,46.829,1,12:00
71,1134,24.734,46.688,1,12:00
72,1136,24.734,46.595,1,12:00
73,1137,24.734,46.782,1,12:00
74,1156,24.737,46.591,2,12:00
75,1157,24.737,46.774,1,12:00
76,1167,24.738,46.623,1,12:00
77,1168,24.738,46.829,1,12:00
78,1176,24.739,46.694,1,12:00
79,1177,24.739,46.764,1,12:00
80,1179,24.739,46.713,1,12:00
81,1186,24.74,46.749,1,12:00
82,1197,24.742,46.571,1,12:00
83,1204,24.743,46.658,1,12:00
84,1215,24.744,46.83,1,12:00
85,1224,24.745,46.799,1,12:00
86,1233,24.746,46.747,6,12:00
87,1238,24.747,46.758,1,12:00
88,1246,24.748,46.768,1,12:00
89,1249,24.749,46.763,1,12:00
90,1251,24.749,46.678,1,12:00
91,1260,24.75,46.71,2,12:00
92,1261,24.75,46.809,1,12:00
93,1262,24.75,46.573,1,12:00
94,1263,24.75,46.623,1,12:00
95,1277,24.752,46.744,3,12:00
96,1279,24.752,46.657,1,12:00
97,1281,24.752,46.657,1,12:00
98,1282,24.752,46.749,1,12:00
99,1284,24.753,46.699,1,12:00
100,1291,24.753,46.721,2,12:00
101,1294,24.753,46.84,1,12:00
102,1299,24.754,46.637,1,12:00
103,1310,24.755,46.739,2,12:00
104,1312,24.756,46.676,3,12:00
105,1319,24.756,46.775,1,12:00
106,1320,24.756,46.75,1,12:00
107,1321,24.758,46.648,1,12:00
108,1324,24.758,46.7,1,12:00
109,1326,24.758,46.825,1,12:00
110,1329,24.759,46.756,1,12:00
111,1333,24.759,46.799,1,12:00
112,1340,24.76,46.807,1,12:00
113,1341,24.76,46.707,1,12:00
114,1346,24.762,46.736,1,12:00
115,1348,24.762,46.655,3,12:00
116,1350,24.763,46.747,2,12:00
117,1356,24.764,46.681,1,12:00
118,1359,24.764,46.763,1,12:00
119,1361,24.764,46.763,1,12:00
120,1365,24.765,46.725,2,12:00
121,1371,24.766,46.692,1,12:00
122,1375,24.768,46.712,1,12:00
123,1376,24.768,46.674,1,12:00
124,1380,24.768,46.747,1,12:00
125,1381,24.769,46.667,2,12:00
126,1384,24.769,46.668,2,12:00
127,1389,24.77,46.781,1,12:00
128,1391,24.77,46.679,1,12:00
129,1392,24.77,46.699,1,12:00
130,1396,24.771,46.726,4,12:00
131,1404,24.772,46.734,1,12:00
132,1407,24.773,46.646,1,12:00
133,1409,24.773,46.742,1,12:00
134,1413,24.775,46.826,1,12:00
135,1415,24.775,46.791,2,12:00
136,1416,24.775,46.728,11,12:00
137,1422,24.776,46.805,1,12:00
138,1424,24.776,46.752,1,12:00
139,1429,24.777,46.675,1,12:00
140,1430,24.777,46.629,1,12:00
141,1434,24.779,46.719,1,12:00
142,1437,24.779,46.713,1,12:00
143,1438,24.779,46.784,3,12:00
144,1439,24.779,46.693,2,12:00
145,1445,24.781,46.768,2,12:00
146,1447,24.781,46.708,1,12:00
147,1450,24.782,46.76,1,12:00
148,1461,24.784,46.692,1,12:00
149,1464,24.785,46.725,3,12:00
150,1466,24.785,46.631,1,12:00
151,1467,24.785,46.731,3,12:00
152,1469,24.786,46.779,1,12:00
153,1474,24.786,46.703,3,12:00
154,1478,24.787,46.719,7,12:00
155,1479,24.787,46.746,1,12:00
156,1481,24.788,46.641,1,12:00
157,1482,24.788,46.618,1,12:00
158,1492,24.79,46.711,5,12:00
159,1497,24.791,46.694,1,12:00
160,1499,24.792,46.641,1,12:00
161,1502,24.794,46.688,1,12:00
162,1505,24.794,46.629,1,12:00
163,1506,24.794,46.699,1,12:00
164,1509,24.794,46.734,1,12:00
165,1515,24.797,46.567,1,12:00
166,1519,24.797,46.619,1,12:00
167,1523,24.799,46.666,1,12:00
168,1524,24.799,46.728,1,12:00
169,1525,24.799,46.796,1,12:00
170,1527,24.799,46.741,3,12:00
171,1529,24.799,46.689,1,12:00
172,1530,24.799,46.759,1,12:00
173,1531,24.799,46.785,1,12:00
174,1533,24.8,46.717,1,12:00
175,1537,24.801,46.699,1,12:00
176,1538,24.801,46.77,2,12:00
177,1539,24.802,46.648,1,12:00
178,1547,24.804,46.753,2,12:00
179,1549,24.804,46.713,1,12:00
180,1560,24.806,46.712,3,12:00
181,1562,24.807,46.721,4,12:00
182,1565,24.807,46.809,1,12:00
183,1567,24.808,46.665,1,12:00
184,1573,24.81,46.783,1,12:00
185,1576,24.811,46.692,1,12:00
186,1579,24.813,46.712,8,12:00
187,1581,24.813,46.853,1,12:00
188,1586,24.814,46.641,1,12:00
189,1589,24.814,46.617,1,12:00
190,1593,24.816,46.775,1,12:00
191,1594,24.816,46.739,2,12:00
192,1600,24.818,46.765,2,12:00
193,1601,24.819,46.724,1,12:00
194,1602,24.819,46.787,1,12:00
195,1603,24.82,46.676,2,12:00
196,1605,24.82,46.686,8,12:00
197,1606,24.82,46.751,1,12:00
198,1612,24.822,46.641,2,12:00
199,1619,24.826,46.739,4,12:00
200,1621,24.828,46.796,1,12:00
201,1623,24.829,46.723,10,12:00
202,1624,24.829,46.827,1,12:00
203,1629,24.833,46.76,2,12:00
204,1633,24.836,46.683,5,12:00
205,1635,24.837,46.773,1,12:00
206,1636,24.838,46.789,2,12:00
207,1648,24.847,46.869,1,12:00
208,1655,24.85,46.762,8,12:00
209,1659,24.852,46.791,1,12:00
210,1661,24.852,46.776,3,12:00
211,1665,24.856,46.697,4,12:00
212,1667,24.857,46.807,1,12:00
213,1674,24.864,46.797,1,12:00
214,1693,24.923,46.713,3,12:00
215,1707,24.963,46.701,1,12:00
216,1712,24.978,46.69,1,12:00
