,oid,lat_origin,long_origin,flow,hour
0,17,24.537,46.642,1,10:00
1,57,24.557,46.761,1,10:00
2,124,24.576,46.588,1,10:00
3,235,24.594,46.594,1,10:00
4,249,24.597,46.737,1,10:00
5,309,24.61,46.73,1,10:00
6,515,24.652,46.806,1,10:00
7,522,24.653,46.571,1,10:00
8,538,24.657,46.872,1,10:00
9,554,24.66,46.699,1,10:00
10,581,24.664,46.691,1,10:00
11,621,24.671,46.727,1,10:00
12,653,24.675,46.751,1,10:00
13,724,24.684,46.767,1,10:00
14,882,24.701,46.77,2,10:00
15,883,24.701,46.743,1,10:00
16,925,24.706,46.799,1,10:00
17,932,24.708,46.661,1,10:00
18,970,24.712,46.759,2,10:00
19,1072,24.727,46.769,1,10:00
20,1080,24.728,46.703,1,10:00
21,1082,24.728,46.758,1,10:00
22,1137,24.734,46.782,1,10:00
23,1138,24.734,46.76,1,10:00
24,1184,24.74,46.836,1,10:00
25,1185,24.74,46.69,1,10:00
26,1193,24.741,46.758,1,10:00
27,1218,24.744,46.753,1,10:00
28,1225,24.745,46.786,1,10:00
29,1233,24.746,46.747,2,10:00
30,1246,24.748,46.768,1,10:00
31,1263,24.75,46.623,1,10:00
32,1291,24.753,46.721,1,10:00
33,1299,24.754,46.637,1,10:00
34,1301,24.754,46.769,1,10:00
35,1309,24.755,46.728,2,10:00
36,1310,24.755,46.739,1,10:00
37,1312,24.756,46.676,1,10:00
38,1337,24.76,46.686,1,10:00
39,1353,24.763,46.618,1,10:00
40,1363,24.765,46.752,1,10:00
41,1407,24.773,46.646,1,10:00
42,1416,24.775,46.728,1,10:00
43,1434,24.779,46.719,1,10:00
44,1442,24.78,46.738,1,10:00
45,1461,24.784,46.692,1,10:00
46,1469,24.786,46.779,1,10:00
47,1472,24.786,46.757,1,10:00
48,1474,24.786,46.703,1,10:00
49,1492,24.79,46.711,1,10:00
50,1527,24.799,46.741,2,10:00
51,1534,24.801,46.631,1,10:00
52,1539,24.802,46.648,1,10:00
53,1555,24.805,46.626,1,10:00
54,1565,24.807,46.809,1,10:00
55,1576,24.811,46.692,2,10:00
56,1579,24.813,46.712,5,10:00
57,1589,24.814,46.617,1,10:00
58,1590,24.815,46.632,1,10:00
59,1605,24.82,46.686,1,10:00
60,1619,24.826,46.739,1,10:00
61,1623,24.829,46.723,5,10:00
62,1627,24.831,46.692,3,10:00
63,1633,24.836,46.683,2,10:00
64,1635,24.837,46.773,1,10:00
65,1655,24.85,46.762,1,10:00
66,1665,24.856,46.697,1,10:00
67,1667,24.857,46.807,2,10:00
68,1683,24.876,46.857,1,10:00
69,1693,24.923,46.713,2,10:00
