,oid,lat_origin,long_origin,flow,hour
0,42,24.551,46.789,1,7:00
1,51,24.555,46.694,1,7:00
2,57,24.557,46.761,1,7:00
3,157,24.581,46.55,1,7:00
4,168,24.583,46.602,1,7:00
5,210,24.59,46.853,1,7:00
6,232,24.594,46.642,1,7:00
7,233,24.594,46.637,1,7:00
8,253,24.598,46.641,1,7:00
9,412,24.634,46.594,1,7:00
10,602,24.667,46.858,1,7:00
11,700,24.682,46.683,1,7:00
12,702,24.682,46.64,1,7:00
13,703,24.682,46.635,1,7:00
14,730,24.685,46.685,1,7:00
15,755,24.688,46.699,1,7:00
16,800,24.691,46.683,1,7:00
17,844,24.697,46.851,1,7:00
18,873,24.7,46.673,1,7:00
19,882,24.701,46.77,1,7:00
20,897,24.704,46.805,1,7:00
21,999,24.717,46.825,1,7:00
22,1006,24.718,46.768,1,7:00
23,1070,24.727,46.577,1,7:00
24,1121,24.732,46.679,1,7:00
25,1130,24.733,46.829,1,7:00
26,1131,24.733,46.649,1,7:00
27,1136,24.734,46.595,1,7:00
28,1147,24.736,46.8,1,7:00
29,1186,24.74,46.749,1,7:00
30,1207,24.743,46.778,1,7:00
31,1209,24.743,46.665,1,7:00
32,1216,24.744,46.83,2,7:00
33,1235,24.747,46.683,1,7:00
34,1251,24.749,46.678,1,7:00
35,1277,24.752,46.744,2,7:00
36,1289,24.753,46.578,1,7:00
37,1308,24.755,46.569,1,7:00
38,1317,24.756,46.711,1,7:00
39,1321,24.758,46.648,1,7:00
40,1337,24.76,46.686,1,7:00
41,1344,24.762,46.674,1,7:00
42,1346,24.762,46.736,3,7:00
43,1349,24.762,46.718,1,7:00
44,1375,24.768,46.712,1,7:00
45,1385,24.769,46.581,1,7:00
46,1386,24.77,46.789,1,7:00
47,1388,24.77,46.759,1,7:00
48,1389,24.77,46.781,2,7:00
49,1397,24.771,46.66,1,7:00
50,1401,24.771,46.651,1,7:00
51,1404,24.772,46.734,3,7:00
52,1406,24.772,46.72,1,7:00
53,1407,24.773,46.646,1,7:00
54,1410,24.774,46.683,1,7:00
55,1413,24.775,46.826,1,7:00
56,1415,24.775,46.791,1,7:00
57,1416,24.775,46.728,3,7:00
58,1426,24.777,46.636,1,7:00
59,1430,24.777,46.629,1,7:00
60,1431,24.777,46.661,1,7:00
61,1438,24.779,46.784,1,7:00
62,1447,24.781,46.708,1,7:00
63,1449,24.782,46.685,1,7:00
64,1450,24.782,46.76,1,7:00
65,1458,24.783,46.825,1,7:00
66,1464,24.785,46.725,1,7:00
67,1465,24.785,46.849,1,7:00
68,1467,24.785,46.731,1,7:00
69,1474,24.786,46.703,1,7:00
70,1478,24.787,46.719,3,7:00
71,1480,24.788,46.681,2,7:00
72,1481,24.788,46.641,1,7:00
73,1482,24.788,46.618,3,7:00
74,1483,24.788,46.789,1,7:00
75,1494,24.79,46.767,2,7:00
76,1495,24.791,46.776,1,7:00
77,1509,24.794,46.734,1,7:00
78,1516,24.797,46.773,1,7:00
79,1527,24.799,46.741,2,7:00
80,1538,24.801,46.77,1,7:00
81,1543,24.803,46.805,1,7:00
82,1565,24.807,46.809,2,7:00
83,1568,24.808,46.792,1,7:00
84,1579,24.813,46.712,3,7:00
85,1585,24.814,46.813,1,7:00
86,1590,24.815,46.632,1,7:00
87,1591,24.815,46.745,1,7:00
88,1594,24.816,46.739,1,7:00
89,1596,24.817,46.801,1,7:00
90,1599,24.818,46.578,1,7:00
91,1603,24.82,46.676,4,7:00
92,1604,24.82,46.595,2,7:00
93,1605,24.82,46.686,1,7:00
94,1606,24.82,46.751,1,7:00
95,1610,24.822,46.812,1,7:00
96,1612,24.822,46.641,1,7:00
97,1617,24.825,46.774,1,7:00
98,1618,24.826,46.804,2,7:00
99,1619,24.826,46.739,3,7:00
100,1621,24.828,46.796,1,7:00
101,1622,24.829,46.638,1,7:00
102,1623,24.829,46.723,2,7:00
103,1627,24.831,46.692,1,7:00
104,1633,24.836,46.683,2,7:00
105,1635,24.837,46.773,1,7:00
106,1640,24.84,46.671,1,7:00
107,1655,24.85,46.762,1,7:00
108,1661,24.852,46.776,1,7:00
109,1693,24.923,46.713,1,7:00
