,did,lat_dest,long_dest,flow,hour
0,124,24.576,46.588,1,16:00
1,351,24.62,46.573,1,16:00
2,815,24.693,46.723,1,16:00
3,1263,24.75,46.623,1,16:00
4,1277,24.752,46.744,2,16:00
5,1353,24.763,46.618,1,16:00
6,1409,24.773,46.742,1,16:00
7,1464,24.785,46.725,1,16:00
8,1467,24.785,46.731,1,16:00
9,1478,24.787,46.719,1,16:00
10,1492,24.79,46.711,1,16:00
11,1527,24.799,46.741,1,16:00
12,1547,24.804,46.753,1,16:00
13,1554,24.805,46.731,1,16:00
14,1579,24.813,46.712,6,16:00
15,1581,24.813,46.853,1,16:00
16,1589,24.814,46.617,1,16:00
17,1596,24.817,46.801,1,16:00
18,1602,24.819,46.787,1,16:00
19,1605,24.82,46.686,1,16:00
20,1619,24.826,46.739,3,16:00
21,1627,24.831,46.692,2,16:00
22,1633,24.836,46.683,1,16:00
23,1640,24.84,46.671,1,16:00
24,1655,24.85,46.762,3,16:00
25,1688,24.886,46.804,1,16:00
26,1693,24.923,46.713,1,16:00
27,1697,24.948,46.705,1,16:00
28,1699,24.955,46.702,1,16:00
29,1706,24.962,46.801,1,16:00
30,1712,24.978,46.69,1,16:00
