,did,lat_dest,long_dest,flow,hour
0,794,24.691,46.718,1,19:00
1,800,24.691,46.683,1,19:00
2,1220,24.744,46.616,1,19:00
3,1347,24.762,46.773,1,19:00
4,1375,24.768,46.712,1,19:00
5,1376,24.768,46.674,1,19:00
6,1418,24.776,46.694,1,19:00
7,1437,24.779,46.713,1,19:00
8,1447,24.781,46.708,1,19:00
9,1455,24.783,46.675,1,19:00
10,1464,24.785,46.725,1,19:00
11,1474,24.786,46.703,1,19:00
12,1492,24.79,46.711,1,19:00
13,1500,24.793,46.747,1,19:00
14,1502,24.794,46.688,1,19:00
15,1561,24.806,46.765,1,19:00
16,1562,24.807,46.721,1,19:00
17,1579,24.813,46.712,1,19:00
18,1619,24.826,46.739,4,19:00
19,1620,24.826,46.792,1,19:00
20,1629,24.833,46.76,1,19:00
21,1635,24.837,46.773,1,19:00
22,1643,24.843,46.774,1,19:00
23,1655,24.85,46.762,3,19:00
24,1656,24.851,46.65,1,19:00
25,1661,24.852,46.776,3,19:00
26,1665,24.856,46.697,1,19:00
27,1674,24.864,46.797,3,19:00
28,1682,24.876,46.822,1,19:00
29,1693,24.923,46.713,2,19:00
30,1694,24.933,46.838,1,19:00
31,1697,24.948,46.705,2,19:00
32,1699,24.955,46.702,2,19:00
33,1707,24.963,46.701,1,19:00
34,1711,24.975,46.771,1,19:00
