,oid,lat_origin,long_origin,flow,hour
0,452,24.639,46.574,1,15:00
1,539,24.657,46.789,1,15:00
2,555,24.66,46.806,1,15:00
3,656,24.676,46.59,1,15:00
4,671,24.677,46.825,1,15:00
5,730,24.685,46.685,1,15:00
6,734,24.685,46.777,1,15:00
7,745,24.687,46.806,1,15:00
8,800,24.691,46.683,1,15:00
9,882,24.701,46.77,1,15:00
10,908,24.705,46.675,1,15:00
11,916,24.706,46.708,1,15:00
12,939,24.708,46.677,1,15:00
13,1007,24.718,46.768,1,15:00
14,1037,24.723,46.758,1,15:00
15,1157,24.737,46.774,1,15:00
16,1321,24.758,46.648,1,15:00
17,1328,24.759,46.617,1,15:00
18,1348,24.762,46.655,1,15:00
19,1353,24.763,46.618,1,15:00
20,1359,24.764,46.763,1,15:00
21,1379,24.768,46.686,1,15:00
22,1381,24.769,46.667,1,15:00
23,1410,24.774,46.683,1,15:00
24,1419,24.776,46.777,1,15:00
25,1421,24.776,46.71,1,15:00
26,1437,24.779,46.713,1,15:00
27,1467,24.785,46.731,1,15:00
28,1472,24.786,46.757,1,15:00
29,1478,24.787,46.719,1,15:00
30,1480,24.788,46.681,1,15:00
31,1492,24.79,46.711,2,15:00
32,1547,24.804,46.753,1,15:00
33,1576,24.811,46.692,1,15:00
34,1579,24.813,46.712,2,15:00
35,1601,24.819,46.724,1,15:00
36,1602,24.819,46.787,1,15:00
37,1606,24.82,46.751,3,15:00
38,1612,24.822,46.641,1,15:00
39,1619,24.826,46.739,6,15:00
40,1621,24.828,46.796,1,15:00
41,1633,24.836,46.683,1,15:00
42,1665,24.856,46.697,2,15:00
43,1687,24.879,46.874,1,15:00
44,1693,24.923,46.713,4,15:00
45,1697,24.948,46.705,1,15:00
46,1704,24.96,46.793,1,15:00
47,1709,24.965,46.8,1,15:00
