,did,lat_dest,long_dest,flow,hour
0,227,24.593,46.621,1,8:00
1,444,24.638,46.606,1,8:00
2,638,24.673,46.813,1,8:00
3,724,24.684,46.767,1,8:00
4,729,24.685,46.813,2,8:00
5,740,24.686,46.679,1,8:00
6,820,24.694,46.685,3,8:00
7,856,24.698,46.678,1,8:00
8,962,24.712,46.615,1,8:00
9,1157,24.737,46.774,1,8:00
10,1176,24.739,46.694,1,8:00
11,1207,24.743,46.778,1,8:00
12,1260,24.75,46.71,1,8:00
13,1299,24.754,46.637,1,8:00
14,1310,24.755,46.739,1,8:00
15,1349,24.762,46.718,2,8:00
16,1356,24.764,46.681,1,8:00
17,1375,24.768,46.712,1,8:00
18,1406,24.772,46.72,1,8:00
19,1413,24.775,46.826,1,8:00
20,1464,24.785,46.725,2,8:00
21,1478,24.787,46.719,1,8:00
22,1497,24.791,46.694,1,8:00
23,1531,24.799,46.785,1,8:00
24,1560,24.806,46.712,1,8:00
25,1562,24.807,46.721,1,8:00
26,1567,24.808,46.665,1,8:00
27,1579,24.813,46.712,2,8:00
28,1590,24.815,46.632,1,8:00
29,1603,24.82,46.676,1,8:00
30,1605,24.82,46.686,1,8:00
31,1619,24.826,46.739,2,8:00
32,1623,24.829,46.723,2,8:00
33,1633,24.836,46.683,3,8:00
34,1655,24.85,46.762,1,8:00
35,1656,24.851,46.65,1,8:00
36,1665,24.856,46.697,1,8:00
37,1674,24.864,46.797,1,8:00
38,1683,24.876,46.857,1,8:00
39,1693,24.923,46.713,1,8:00
40,1697,24.948,46.705,1,8:00
41,1703,24.959,46.794,1,8:00
