,did,lat_dest,long_dest,flow,hour
0,452,24.639,46.574,1,22:00
1,587,24.665,46.733,1,22:00
2,598,24.667,46.755,1,22:00
3,948,24.71,46.816,1,22:00
4,1071,24.727,46.668,1,22:00
5,1209,24.743,46.665,1,22:00
6,1237,24.747,46.673,1,22:00
7,1312,24.756,46.676,1,22:00
8,1416,24.775,46.728,1,22:00
9,1474,24.786,46.703,1,22:00
10,1480,24.788,46.681,1,22:00
11,1492,24.79,46.711,1,22:00
12,1527,24.799,46.741,1,22:00
13,1560,24.806,46.712,1,22:00
14,1579,24.813,46.712,2,22:00
15,1597,24.817,46.71,1,22:00
16,1600,24.818,46.765,1,22:00
17,1605,24.82,46.686,1,22:00
18,1606,24.82,46.751,1,22:00
19,1619,24.826,46.739,3,22:00
20,1621,24.828,46.796,1,22:00
21,1623,24.829,46.723,2,22:00
22,1624,24.829,46.827,1,22:00
23,1636,24.838,46.789,1,22:00
24,1640,24.84,46.671,1,22:00
25,1643,24.843,46.774,1,22:00
26,1688,24.886,46.804,2,22:00
27,1691,24.908,46.828,1,22:00
28,1694,24.933,46.838,1,22:00
29,1696,24.943,46.652,1,22:00
30,1697,24.948,46.705,1,22:00
31,1699,24.955,46.702,1,22:00
32,1700,24.955,46.8,1,22:00
33,1701,24.956,46.703,1,22:00
34,1709,24.965,46.8,1,22:00
