,oid,lat_origin,long_origin,flow,hour
0,683,24.679,46.648,1,23:00
1,1309,24.755,46.728,1,23:00
2,1375,24.768,46.712,1,23:00
3,1384,24.769,46.668,1,23:00
4,1427,24.777,46.828,1,23:00
5,1443,24.78,46.624,1,23:00
6,1464,24.785,46.725,1,23:00
7,1471,24.786,46.65,1,23:00
8,1480,24.788,46.681,1,23:00
9,1492,24.79,46.711,1,23:00
10,1531,24.799,46.785,1,23:00
11,1554,24.805,46.731,1,23:00
12,1579,24.813,46.712,2,23:00
13,1619,24.826,46.739,2,23:00
14,1622,24.829,46.638,1,23:00
15,1655,24.85,46.762,1,23:00
16,1689,24.901,46.804,1,23:00
17,1699,24.955,46.702,1,23:00
