,oid,lat_origin,long_origin,flow,hour
0,111,24.573,46.615,1,18:00
1,698,24.681,46.69,1,18:00
2,788,24.69,46.773,1,18:00
3,946,24.709,46.764,1,18:00
4,1030,24.721,46.837,1,18:00
5,1037,24.723,46.758,1,18:00
6,1138,24.734,46.76,1,18:00
7,1245,24.748,46.698,1,18:00
8,1322,24.758,46.783,1,18:00
9,1385,24.769,46.581,1,18:00
10,1397,24.771,46.66,1,18:00
11,1402,24.771,46.69,1,18:00
12,1416,24.775,46.728,1,18:00
13,1428,24.777,46.654,1,18:00
14,1464,24.785,46.725,2,18:00
15,1492,24.79,46.711,1,18:00
16,1509,24.794,46.734,1,18:00
17,1527,24.799,46.741,1,18:00
18,1558,24.806,46.695,1,18:00
19,1566,24.808,46.649,1,18:00
20,1574,24.81,46.704,1,18:00
21,1579,24.813,46.712,1,18:00
22,1583,24.814,46.7,1,18:00
23,1600,24.818,46.765,1,18:00
24,1606,24.82,46.751,1,18:00
25,1619,24.826,46.739,3,18:00
26,1621,24.828,46.796,1,18:00
27,1623,24.829,46.723,1,18:00
28,1633,24.836,46.683,1,18:00
29,1635,24.837,46.773,1,18:00
30,1682,24.876,46.822,2,18:00
31,1692,24.916,46.809,2,18:00
32,1693,24.923,46.713,4,18:00
33,1694,24.933,46.838,1,18:00
34,1699,24.955,46.702,4,18:00
35,1701,24.956,46.703,1,18:00
36,1711,24.975,46.771,1,18:00
