,oid,lat_origin,long_origin,flow,hour
0,124,24.576,46.588,3,12:00
1,210,24.59,46.853,1,12:00
2,378,24.626,46.667,1,12:00
3,571,24.662,46.625,1,12:00
4,701,24.682,46.695,1,12:00
5,814,24.693,46.722,1,12:00
6,832,24.695,46.708,1,12:00
7,839,24.696,46.769,2,12:00
8,856,24.698,46.678,1,12:00
9,891,24.703,46.814,1,12:00
10,917,24.706,46.784,1,12:00
11,946,24.709,46.764,2,12:00
12,952,24.71,46.851,1,12:00
13,957,24.711,46.637,1,12:00
14,970,24.712,46.759,1,12:00
15,979,24.715,46.697,1,12:00
16,1000,24.717,46.674,1,12:00
17,1031,24.721,46.795,1,12:00
18,1035,24.722,46.777,1,12:00
19,1037,24.723,46.758,1,12:00
20,1049,24.724,46.742,1,12:00
21,1068,24.727,46.613,1,12:00
22,1070,24.727,46.577,1,12:00
23,1072,24.727,46.769,2,12:00
24,1081,24.728,46.758,1,12:00
25,1131,24.733,46.649,1,12:00
26,1147,24.736,46.8,1,12:00
27,1155,24.737,46.682,1,12:00
28,1175,24.739,46.656,1,12:00
29,1176,24.739,46.694,1,12:00
30,1186,24.74,46.749,1,12:00
31,1190,24.741,46.673,1,12:00
32,1207,24.743,46.778,1,12:00
33,1225,24.745,46.786,1,12:00
34,1251,24.749,46.678,1,12:00
35,1277,24.752,46.744,3,12:00
36,1282,24.752,46.749,1,12:00
37,1289,24.753,46.578,1,12:00
38,1299,24.754,46.637,1,12:00
39,1301,24.754,46.769,1,12:00
40,1310,24.755,46.739,1,12:00
41,1312,24.756,46.676,1,12:00
42,1335,24.759,46.653,1,12:00
43,1343,24.76,46.727,1,12:00
44,1344,24.762,46.674,1,12:00
45,1348,24.762,46.655,1,12:00
46,1350,24.763,46.747,2,12:00
47,1353,24.763,46.618,1,12:00
48,1358,24.764,46.811,1,12:00
49,1359,24.764,46.763,1,12:00
50,1365,24.765,46.725,1,12:00
51,1368,24.765,46.82,1,12:00
52,1374,24.768,46.808,2,12:00
53,1375,24.768,46.712,1,12:00
54,1376,24.768,46.674,1,12:00
55,1378,24.768,46.807,1,12:00
56,1381,24.769,46.667,1,12:00
57,1384,24.769,46.668,1,12:00
58,1391,24.77,46.679,2,12:00
59,1398,24.771,46.767,1,12:00
60,1404,24.772,46.734,2,12:00
61,1409,24.773,46.742,1,12:00
62,1410,24.774,46.683,1,12:00
63,1416,24.775,46.728,7,12:00
64,1424,24.776,46.752,2,12:00
65,1439,24.779,46.693,1,12:00
66,1442,24.78,46.738,1,12:00
67,1447,24.781,46.708,2,12:00
68,1449,24.782,46.685,1,12:00
69,1451,24.782,46.75,3,12:00
70,1453,24.782,46.855,1,12:00
71,1458,24.783,46.825,1,12:00
72,1461,24.784,46.692,1,12:00
73,1464,24.785,46.725,1,12:00
74,1466,24.785,46.631,1,12:00
75,1467,24.785,46.731,1,12:00
76,1468,24.785,46.661,1,12:00
77,1478,24.787,46.719,4,12:00
78,1482,24.788,46.618,1,12:00
79,1484,24.789,46.74,2,12:00
80,1488,24.789,46.803,1,12:00
81,1489,24.789,46.671,1,12:00
82,1494,24.79,46.767,1,12:00
83,1495,24.791,46.776,1,12:00
84,1499,24.792,46.641,1,12:00
85,1505,24.794,46.629,2,12:00
86,1506,24.794,46.699,2,12:00
87,1509,24.794,46.734,2,12:00
88,1512,24.795,46.708,1,12:00
89,1516,24.797,46.773,1,12:00
90,1522,24.799,46.75,2,12:00
91,1527,24.799,46.741,1,12:00
92,1533,24.8,46.717,1,12:00
93,1539,24.802,46.648,1,12:00
94,1541,24.802,46.707,1,12:00
95,1547,24.804,46.753,1,12:00
96,1553,24.805,46.776,1,12:00
97,1555,24.805,46.626,1,12:00
98,1556,24.805,46.683,2,12:00
99,1557,24.805,46.782,1,12:00
100,1558,24.806,46.695,1,12:00
101,1560,24.806,46.712,2,12:00
102,1561,24.806,46.765,1,12:00
103,1562,24.807,46.721,1,12:00
104,1567,24.808,46.665,1,12:00
105,1575,24.81,46.694,3,12:00
106,1576,24.811,46.692,2,12:00
107,1578,24.812,46.751,1,12:00
108,1579,24.813,46.712,4,12:00
109,1583,24.814,46.7,2,12:00
110,1586,24.814,46.641,1,12:00
111,1596,24.817,46.801,1,12:00
112,1597,24.817,46.71,1,12:00
113,1598,24.817,46.809,1,12:00
114,1600,24.818,46.765,1,12:00
115,1602,24.819,46.787,1,12:00
116,1603,24.82,46.676,2,12:00
117,1605,24.82,46.686,2,12:00
118,1612,24.822,46.641,1,12:00
119,1614,24.823,46.842,1,12:00
120,1619,24.826,46.739,4,12:00
121,1622,24.829,46.638,1,12:00
122,1623,24.829,46.723,6,12:00
123,1625,24.83,46.768,1,12:00
124,1627,24.831,46.692,1,12:00
125,1633,24.836,46.683,8,12:00
126,1636,24.838,46.789,1,12:00
127,1640,24.84,46.671,1,12:00
128,1646,24.846,46.601,1,12:00
129,1655,24.85,46.762,1,12:00
130,1656,24.851,46.65,1,12:00
131,1658,24.851,46.696,1,12:00
132,1661,24.852,46.776,2,12:00
133,1665,24.856,46.697,2,12:00
134,1693,24.923,46.713,1,12:00
135,1697,24.948,46.705,1,12:00
136,1699,24.955,46.702,2,12:00
137,1706,24.962,46.801,1,12:00
138,1709,24.965,46.8,1,12:00
