,did,lat_dest,long_dest,flow,hour
0,111,24.573,46.615,1,10:00
1,179,24.585,46.63,1,10:00
2,544,24.658,46.739,1,10:00
3,595,24.666,46.789,1,10:00
4,652,24.675,46.696,1,10:00
5,687,24.68,46.661,1,10:00
6,760,24.689,46.733,1,10:00
7,970,24.712,46.759,1,10:00
8,1035,24.722,46.777,1,10:00
9,1071,24.727,46.668,1,10:00
10,1148,24.736,46.664,1,10:00
11,1156,24.737,46.591,1,10:00
12,1220,24.744,46.616,1,10:00
13,1226,24.745,46.858,2,10:00
14,1293,24.753,46.731,1,10:00
15,1306,24.755,46.803,1,10:00
16,1317,24.756,46.711,1,10:00
17,1346,24.762,46.736,1,10:00
18,1353,24.763,46.618,1,10:00
19,1363,24.765,46.752,1,10:00
20,1365,24.765,46.725,1,10:00
21,1395,24.771,46.8,1,10:00
22,1400,24.771,46.62,1,10:00
23,1406,24.772,46.72,1,10:00
24,1416,24.775,46.728,3,10:00
25,1439,24.779,46.693,1,10:00
26,1443,24.78,46.624,1,10:00
27,1464,24.785,46.725,1,10:00
28,1466,24.785,46.631,1,10:00
29,1468,24.785,46.661,1,10:00
30,1477,24.787,46.698,1,10:00
31,1492,24.79,46.711,1,10:00
32,1509,24.794,46.734,1,10:00
33,1527,24.799,46.741,1,10:00
34,1533,24.8,46.717,1,10:00
35,1536,24.801,46.66,1,10:00
36,1566,24.808,46.649,1,10:00
37,1579,24.813,46.712,3,10:00
38,1583,24.814,46.7,1,10:00
39,1590,24.815,46.632,1,10:00
40,1600,24.818,46.765,1,10:00
41,1605,24.82,46.686,2,10:00
42,1612,24.822,46.641,1,10:00
43,1618,24.826,46.804,1,10:00
44,1619,24.826,46.739,1,10:00
45,1623,24.829,46.723,3,10:00
46,1633,24.836,46.683,4,10:00
47,1658,24.851,46.696,1,10:00
48,1693,24.923,46.713,2,10:00
49,1694,24.933,46.838,1,10:00
50,1699,24.955,46.702,6,10:00
51,1701,24.956,46.703,3,10:00
52,1712,24.978,46.69,1,10:00
