,oid,lat_origin,long_origin,flow,hour
0,124,24.576,46.588,1,17:00
1,163,24.582,46.584,1,17:00
2,272,24.602,46.587,1,17:00
3,883,24.701,46.743,1,17:00
4,946,24.709,46.764,1,17:00
5,970,24.712,46.759,1,17:00
6,1025,24.72,46.782,1,17:00
7,1027,24.72,46.763,1,17:00
8,1134,24.734,46.688,1,17:00
9,1148,24.736,46.664,1,17:00
10,1214,24.743,46.669,1,17:00
11,1218,24.744,46.753,1,17:00
12,1346,24.762,46.736,1,17:00
13,1347,24.762,46.773,1,17:00
14,1439,24.779,46.693,1,17:00
15,1477,24.787,46.698,1,17:00
16,1492,24.79,46.711,1,17:00
17,1509,24.794,46.734,1,17:00
18,1539,24.802,46.648,1,17:00
19,1548,24.804,46.603,1,17:00
20,1551,24.804,46.798,1,17:00
21,1554,24.805,46.731,1,17:00
22,1556,24.805,46.683,1,17:00
23,1579,24.813,46.712,2,17:00
24,1583,24.814,46.7,1,17:00
25,1605,24.82,46.686,1,17:00
26,1611,24.822,46.76,1,17:00
27,1619,24.826,46.739,9,17:00
28,1625,24.83,46.768,1,17:00
29,1627,24.831,46.692,1,17:00
30,1640,24.84,46.671,1,17:00
31,1682,24.876,46.822,1,17:00
32,1692,24.916,46.809,1,17:00
33,1693,24.923,46.713,1,17:00
34,1705,24.96,46.702,1,17:00
35,1711,24.975,46.771,1,17:00
