,did,lat_dest,long_dest,flow,hour
0,343,24.618,46.726,2,21:00
1,463,24.642,46.718,1,21:00
2,693,24.68,46.734,1,21:00
3,800,24.691,46.683,1,21:00
4,820,24.694,46.685,1,21:00
5,883,24.701,46.743,1,21:00
6,998,24.717,46.682,1,21:00
7,1351,24.763,46.667,1,21:00
8,1434,24.779,46.719,1,21:00
9,1477,24.787,46.698,1,21:00
10,1492,24.79,46.711,2,21:00
11,1562,24.807,46.721,1,21:00
12,1576,24.811,46.692,1,21:00
13,1579,24.813,46.712,1,21:00
14,1597,24.817,46.71,1,21:00
15,1600,24.818,46.765,1,21:00
16,1605,24.82,46.686,1,21:00
17,1619,24.826,46.739,2,21:00
18,1633,24.836,46.683,1,21:00
19,1635,24.837,46.773,3,21:00
20,1655,24.85,46.762,3,21:00
21,1661,24.852,46.776,3,21:00
22,1693,24.923,46.713,2,21:00
23,1698,24.951,46.794,1,21:00
24,1699,24.955,46.702,2,21:00
25,1712,24.978,46.69,1,21:00
