,oid,lat_origin,long_origin,flow,hour
0,725,24.684,46.559,1,20:00
1,835,24.695,46.734,1,20:00
2,861,24.699,46.714,1,20:00
3,1074,24.727,46.691,1,20:00
4,1108,24.731,46.774,1,20:00
5,1321,24.758,46.648,1,20:00
6,1416,24.775,46.728,2,20:00
7,1418,24.776,46.694,1,20:00
8,1431,24.777,46.661,1,20:00
9,1439,24.779,46.693,1,20:00
10,1440,24.779,46.799,1,20:00
11,1442,24.78,46.738,2,20:00
12,1478,24.787,46.719,1,20:00
13,1492,24.79,46.711,1,20:00
14,1505,24.794,46.629,1,20:00
15,1509,24.794,46.734,1,20:00
16,1524,24.799,46.728,1,20:00
17,1541,24.802,46.707,1,20:00
18,1558,24.806,46.695,1,20:00
19,1560,24.806,46.712,1,20:00
20,1567,24.808,46.665,1,20:00
21,1579,24.813,46.712,1,20:00
22,1618,24.826,46.804,1,20:00
23,1619,24.826,46.739,6,20:00
24,1622,24.829,46.638,1,20:00
25,1623,24.829,46.723,2,20:00
26,1629,24.833,46.76,1,20:00
27,1633,24.836,46.683,1,20:00
28,1655,24.85,46.762,4,20:00
29,1688,24.886,46.804,2,20:00
30,1693,24.923,46.713,2,20:00
31,1694,24.933,46.838,1,20:00
32,1696,24.943,46.652,1,20:00
33,1697,24.948,46.705,4,20:00
34,1705,24.96,46.702,2,20:00
