,did,lat_dest,long_dest,flow,hour
0,432,24.636,46.624,1,17:00
1,706,24.683,46.624,1,17:00
2,800,24.691,46.683,1,17:00
3,882,24.701,46.77,1,17:00
4,886,24.701,46.65,1,17:00
5,1075,24.727,46.661,1,17:00
6,1365,24.765,46.725,2,17:00
7,1381,24.769,46.667,1,17:00
8,1397,24.771,46.66,1,17:00
9,1404,24.772,46.734,1,17:00
10,1410,24.774,46.683,1,17:00
11,1439,24.779,46.693,1,17:00
12,1464,24.785,46.725,1,17:00
13,1467,24.785,46.731,1,17:00
14,1478,24.787,46.719,1,17:00
15,1492,24.79,46.711,3,17:00
16,1509,24.794,46.734,1,17:00
17,1547,24.804,46.753,1,17:00
18,1549,24.804,46.713,1,17:00
19,1557,24.805,46.782,1,17:00
20,1565,24.807,46.809,1,17:00
21,1579,24.813,46.712,3,17:00
22,1592,24.815,46.879,1,17:00
23,1612,24.822,46.641,1,17:00
24,1614,24.823,46.842,1,17:00
25,1619,24.826,46.739,3,17:00
26,1633,24.836,46.683,3,17:00
27,1635,24.837,46.773,2,17:00
28,1655,24.85,46.762,3,17:00
29,1665,24.856,46.697,1,17:00
30,1674,24.864,46.797,1,17:00
31,1682,24.876,46.822,1,17:00
32,1687,24.879,46.874,1,17:00
33,1693,24.923,46.713,1,17:00
34,1697,24.948,46.705,1,17:00
35,1699,24.955,46.702,2,17:00
36,1701,24.956,46.703,1,17:00
37,1709,24.965,46.8,2,17:00
38,1711,24.975,46.771,1,17:00
