,oid,lat_origin,long_origin,flow,hour
0,8,24.53,46.703,1,9:00
1,131,24.577,46.61,1,9:00
2,142,24.578,46.526,1,9:00
3,165,24.583,46.757,2,9:00
4,219,24.592,46.555,1,9:00
5,235,24.594,46.594,1,9:00
6,272,24.602,46.587,1,9:00
7,279,24.602,46.716,1,9:00
8,292,24.606,46.623,1,9:00
9,330,24.615,46.681,1,9:00
10,437,24.637,46.698,1,9:00
11,510,24.65,46.766,1,9:00
12,554,24.66,46.699,1,9:00
13,555,24.66,46.806,1,9:00
14,569,24.662,46.721,1,9:00
15,646,24.673,46.791,1,9:00
16,673,24.677,46.777,1,9:00
17,695,24.681,46.587,1,9:00
18,716,24.683,46.708,2,9:00
19,718,24.683,46.798,1,9:00
20,730,24.685,46.685,1,9:00
21,774,24.689,46.783,1,9:00
22,789,24.691,46.791,1,9:00
23,806,24.692,46.711,1,9:00
24,816,24.693,46.695,1,9:00
25,820,24.694,46.685,1,9:00
26,870,24.7,46.797,1,9:00
27,873,24.7,46.673,1,9:00
28,946,24.709,46.764,1,9:00
29,985,24.716,46.608,1,9:00
30,1031,24.721,46.795,1,9:00
31,1036,24.722,46.608,1,9:00
32,1049,24.724,46.742,1,9:00
33,1054,24.725,46.676,1,9:00
34,1055,24.725,46.685,1,9:00
35,1063,24.726,46.827,1,9:00
36,1103,24.73,46.805,1,9:00
37,1115,24.732,46.621,1,9:00
38,1177,24.739,46.764,3,9:00
39,1233,24.746,46.747,1,9:00
40,1299,24.754,46.637,1,9:00
41,1324,24.758,46.7,1,9:00
42,1326,24.758,46.825,1,9:00
43,1343,24.76,46.727,1,9:00
44,1350,24.763,46.747,2,9:00
45,1351,24.763,46.667,1,9:00
46,1356,24.764,46.681,1,9:00
47,1360,24.764,46.785,1,9:00
48,1365,24.765,46.725,1,9:00
49,1369,24.766,46.755,1,9:00
50,1377,24.768,46.772,1,9:00
51,1380,24.768,46.747,1,9:00
52,1404,24.772,46.734,2,9:00
53,1406,24.772,46.72,1,9:00
54,1408,24.773,46.814,1,9:00
55,1411,24.774,46.609,1,9:00
56,1412,24.774,46.832,1,9:00
57,1429,24.777,46.675,1,9:00
58,1434,24.779,46.719,1,9:00
59,1451,24.782,46.75,1,9:00
60,1464,24.785,46.725,1,9:00
61,1466,24.785,46.631,1,9:00
62,1467,24.785,46.731,1,9:00
63,1482,24.788,46.618,2,9:00
64,1484,24.789,46.74,1,9:00
65,1492,24.79,46.711,1,9:00
66,1494,24.79,46.767,2,9:00
67,1499,24.792,46.641,1,9:00
68,1510,24.794,46.657,1,9:00
69,1527,24.799,46.741,1,9:00
70,1534,24.801,46.631,1,9:00
71,1538,24.801,46.77,1,9:00
72,1539,24.802,46.648,1,9:00
73,1556,24.805,46.683,1,9:00
74,1562,24.807,46.721,1,9:00
75,1565,24.807,46.809,1,9:00
76,1569,24.808,46.859,1,9:00
77,1575,24.81,46.694,2,9:00
78,1576,24.811,46.692,1,9:00
79,1579,24.813,46.712,2,9:00
80,1601,24.819,46.724,1,9:00
81,1614,24.823,46.842,2,9:00
82,1619,24.826,46.739,3,9:00
83,1623,24.829,46.723,1,9:00
84,1627,24.831,46.692,1,9:00
85,1633,24.836,46.683,1,9:00
86,1643,24.843,46.774,1,9:00
87,1655,24.85,46.762,1,9:00
88,1686,24.877,46.559,1,9:00
89,1693,24.923,46.713,1,9:00
90,1699,24.955,46.702,1,9:00
91,1712,24.978,46.69,1,9:00
