,did,lat_dest,long_dest,flow,hour
0,15,24.536,46.7,1,11:00
1,177,24.585,46.66,1,11:00
2,521,24.653,46.741,1,11:00
3,528,24.654,46.703,1,11:00
4,536,24.656,46.65,1,11:00
5,546,24.659,46.685,1,11:00
6,645,24.673,46.712,1,11:00
7,673,24.677,46.777,1,11:00
8,684,24.679,46.678,1,11:00
9,715,24.683,46.676,1,11:00
10,733,24.685,46.738,1,11:00
11,783,24.69,46.584,1,11:00
12,789,24.691,46.791,1,11:00
13,856,24.698,46.678,1,11:00
14,908,24.705,46.675,1,11:00
15,916,24.706,46.708,1,11:00
16,931,24.708,46.798,1,11:00
17,933,24.708,46.68,1,11:00
18,970,24.712,46.759,1,11:00
19,988,24.716,46.801,2,11:00
20,995,24.716,46.792,2,11:00
21,1007,24.718,46.768,1,11:00
22,1068,24.727,46.613,1,11:00
23,1081,24.728,46.758,1,11:00
24,1089,24.729,46.821,1,11:00
25,1100,24.73,46.783,1,11:00
26,1148,24.736,46.664,1,11:00
27,1156,24.737,46.591,1,11:00
28,1184,24.74,46.836,1,11:00
29,1206,24.743,46.847,1,11:00
30,1233,24.746,46.747,3,11:00
31,1256,24.75,46.787,1,11:00
32,1263,24.75,46.623,1,11:00
33,1299,24.754,46.637,1,11:00
34,1301,24.754,46.769,1,11:00
35,1304,24.754,46.815,1,11:00
36,1310,24.755,46.739,1,11:00
37,1337,24.76,46.686,1,11:00
38,1345,24.762,46.699,1,11:00
39,1348,24.762,46.655,1,11:00
40,1349,24.762,46.718,1,11:00
41,1350,24.763,46.747,1,11:00
42,1380,24.768,46.747,1,11:00
43,1385,24.769,46.581,1,11:00
44,1397,24.771,46.66,1,11:00
45,1399,24.771,46.741,1,11:00
46,1401,24.771,46.651,1,11:00
47,1406,24.772,46.72,2,11:00
48,1414,24.775,46.716,1,11:00
49,1416,24.775,46.728,1,11:00
50,1419,24.776,46.777,1,11:00
51,1424,24.776,46.752,1,11:00
52,1430,24.777,46.629,1,11:00
53,1439,24.779,46.693,2,11:00
54,1440,24.779,46.799,1,11:00
55,1442,24.78,46.738,1,11:00
56,1449,24.782,46.685,1,11:00
57,1451,24.782,46.75,1,11:00
58,1464,24.785,46.725,3,11:00
59,1465,24.785,46.849,1,11:00
60,1469,24.786,46.779,1,11:00
61,1475,24.787,46.817,1,11:00
62,1478,24.787,46.719,4,11:00
63,1489,24.789,46.671,2,11:00
64,1492,24.79,46.711,4,11:00
65,1505,24.794,46.629,1,11:00
66,1519,24.797,46.619,1,11:00
67,1530,24.799,46.759,1,11:00
68,1539,24.802,46.648,1,11:00
69,1541,24.802,46.707,1,11:00
70,1550,24.804,46.641,1,11:00
71,1558,24.806,46.695,1,11:00
72,1559,24.806,46.886,1,11:00
73,1560,24.806,46.712,1,11:00
74,1562,24.807,46.721,1,11:00
75,1576,24.811,46.692,1,11:00
76,1579,24.813,46.712,5,11:00
77,1589,24.814,46.617,1,11:00
78,1603,24.82,46.676,1,11:00
79,1612,24.822,46.641,2,11:00
80,1618,24.826,46.804,1,11:00
81,1619,24.826,46.739,2,11:00
82,1623,24.829,46.723,2,11:00
83,1624,24.829,46.827,1,11:00
84,1625,24.83,46.768,1,11:00
85,1626,24.83,46.648,1,11:00
86,1627,24.831,46.692,1,11:00
87,1633,24.836,46.683,3,11:00
88,1636,24.838,46.789,1,11:00
89,1648,24.847,46.869,1,11:00
90,1655,24.85,46.762,8,11:00
91,1656,24.851,46.65,1,11:00
92,1665,24.856,46.697,5,11:00
93,1684,24.877,46.592,1,11:00
94,1693,24.923,46.713,2,11:00
95,1694,24.933,46.838,1,11:00
96,1697,24.948,46.705,1,11:00
97,1699,24.955,46.702,2,11:00
