,did,lat_dest,long_dest,flow,hour
0,406,24.632,46.557,1,20:00
1,688,24.68,46.749,1,20:00
2,711,24.683,46.725,1,20:00
3,730,24.685,46.685,1,20:00
4,1212,24.743,46.725,1,20:00
5,1315,24.756,46.663,1,20:00
6,1335,24.759,46.653,1,20:00
7,1351,24.763,46.667,1,20:00
8,1416,24.775,46.728,1,20:00
9,1419,24.776,46.777,1,20:00
10,1439,24.779,46.693,1,20:00
11,1522,24.799,46.75,1,20:00
12,1524,24.799,46.728,1,20:00
13,1527,24.799,46.741,1,20:00
14,1535,24.801,46.656,1,20:00
15,1560,24.806,46.712,1,20:00
16,1579,24.813,46.712,2,20:00
17,1583,24.814,46.7,1,20:00
18,1618,24.826,46.804,1,20:00
19,1619,24.826,46.739,5,20:00
20,1623,24.829,46.723,2,20:00
21,1626,24.83,46.648,1,20:00
22,1635,24.837,46.773,2,20:00
23,1655,24.85,46.762,2,20:00
24,1661,24.852,46.776,1,20:00
25,1674,24.864,46.797,2,20:00
26,1682,24.876,46.822,1,20:00
27,1688,24.886,46.804,1,20:00
28,1692,24.916,46.809,1,20:00
29,1693,24.923,46.713,1,20:00
30,1697,24.948,46.705,1,20:00
31,1698,24.951,46.794,1,20:00
32,1699,24.955,46.702,1,20:00
33,1711,24.975,46.771,1,20:00
